Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Average Score,Median Score,Average Move Count,Median Moves
random,500000,1.204,4.816,100.0,99.998,99.7368,92.9446,55.4562,7.8532,0.0184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.6749,1052,118.3697,115
spam_corner,500000,2.023,8.088,100.0,99.9998,99.97,98.8276,85.2772,42.8732,4.8156,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,2227.2833,1976,199.3889,188
ordered,500000,1.688,6.752,100.0,99.9996,99.9106,97.996,86.2112,47.546,2.5668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2292.5052,2164,206.9,199
rotating,500000,1.596,6.384,100.0,100.0,99.9994,99.8402,93.9144,56.5142,6.0378,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,2307.5621,2332,198.0977,196
merge-rnd_t(d=1 t=1),200000,3.764,15.056,100.0,100.0,99.999,99.8815,94.988,59.472,12.406,0.0885,0.0,0.0,0.0,0.0,0.0,0.0,3023.7024,2832,255.6643,246
merge-rnd_t(d=1 t=2),200000,5.881,23.524,100.0,100.0,99.9995,99.858,94.9495,59.715,12.3655,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,3025.7044,2844,255.7943,246
merge-rnd_t(d=1 t=3),200000,8.085,32.34,100.0,100.0,99.9995,99.8655,95.0245,59.596,12.4185,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,3026.3457,2844,255.8327,246
merge-rnd_t(d=1 t=4),200000,10.114,40.456,100.0,100.0,100.0,99.8605,94.903,59.709,12.426,0.084,0.0,0.0,0.0,0.0,0.0,0.0,3024.1888,2840,255.6426,246
merge-rnd_t(d=1 t=5),200000,12.067,48.268,100.0,99.9995,99.997,99.859,94.937,59.7195,12.449,0.079,0.0,0.0,0.0,0.0,0.0,0.0,3026.6428,2844,255.8189,246
merge-rnd_t(d=1 t=6),200000,14.035,56.14,100.0,100.0,99.999,99.877,95.0985,59.8355,12.483,0.0655,0.0,0.0,0.0,0.0,0.0,0.0,3028.3722,2848,255.9577,247
merge-rnd_t(d=1 t=7),200000,15.976,63.901,100.0,100.0,100.0,99.8705,94.905,59.6545,12.2625,0.077,0.0,0.0,0.0,0.0,0.0,0.0,3020.2092,2840,255.4605,246
merge-rnd_t(d=1 t=8),200000,17.942,71.765,100.0,100.0,99.998,99.861,94.953,59.6065,12.2935,0.0965,0.0,0.0,0.0,0.0,0.0,0.0,3022.5011,2840,255.5733,246
merge-rnd_t(d=1 t=9),200000,19.909,79.634,100.0,100.0,99.9985,99.863,94.9165,59.6805,12.304,0.085,0.0,0.0,0.0,0.0,0.0,0.0,3021.7839,2840,255.5193,246
merge-rnd_t(d=1 t=10),200000,21.862,87.447,100.0,100.0,99.9995,99.864,95.005,59.634,12.202,0.0785,0.0,0.0,0.0,0.0,0.0,0.0,3019.5148,2844,255.4558,246
merge-rnd_t(d=2 t=1),200000,23.621,94.484,100.0,100.0,100.0,100.0,99.968,97.5635,71.3815,12.646,0.0165,0.0,0.0,0.0,0.0,0.0,6264.6246,6388,428.8122,435
merge-rnd_t(d=2 t=2),10000,3.78,15.118,100.0,100.0,100.0,100.0,100.0,98.36,78.08,19.16,0.03,0.0,0.0,0.0,0.0,0.0,6995.1948,6888,467.669,469
merge-rnd_t(d=2 t=3),10000,7.988,31.942,100.0,100.0,100.0,100.0,99.97,99.06,81.73,23.38,0.12,0.0,0.0,0.0,0.0,0.0,7441.1888,7048,490.6428,480
merge-rnd_t(d=2 t=4),10000,13.54,54.151,100.0,100.0,100.0,100.0,99.99,99.07,83.13,24.55,0.15,0.0,0.0,0.0,0.0,0.0,7598.3788,7088,499.2321,484
merge-rnd_t(d=2 t=5),10000,20.325,81.29,100.0,100.0,100.0,100.0,99.99,99.11,83.23,25.84,0.07,0.0,0.0,0.0,0.0,0.0,7694.7748,7096,504.2186,486
merge-rnd_t(d=2 t=6),2000,5.796,23.157,100.0,100.0,100.0,100.0,100.0,98.9,83.55,28.8,0.1,0.0,0.0,0.0,0.0,0.0,7907.724,7116,514.492,487
merge-rnd_t(d=2 t=7),2000,7.768,31.056,100.0,100.0,100.0,100.0,100.0,99.15,84.6,28.55,0.3,0.0,0.0,0.0,0.0,0.0,7980.346,7116,518.86,488
merge-rnd_t(d=2 t=8),2000,9.904,39.585,100.0,100.0,100.0,100.0,100.0,99.15,84.3,28.35,0.15,0.0,0.0,0.0,0.0,0.0,7905.596,7132,515.023,489
merge-rnd_t(d=2 t=9),2000,12.188,48.706,100.0,100.0,100.0,100.0,100.0,98.8,84.15,25.55,0.2,0.0,0.0,0.0,0.0,0.0,7750.158,7108,507.4745,486
merge-rnd_t(d=2 t=10),2000,15.186,60.682,100.0,100.0,100.0,100.0,100.0,99.1,85.15,27.75,0.05,0.0,0.0,0.0,0.0,0.0,7940.0,7142,517.7155,490
merge-rnd_t(d=3 t=1),10000,5.339,21.349,100.0,100.0,100.0,100.0,99.99,99.3,88.13,33.35,0.4,0.0,0.0,0.0,0.0,0.0,8501.8404,7192,545.7512,496
merge-rnd_t(d=3 t=2),2000,7.627,30.48,100.0,100.0,100.0,100.0,100.0,99.85,95.1,55.7,2.85,0.0,0.0,0.0,0.0,0.0,11020.09,12050,674.4425,707.5
merge-rnd_t(d=3 t=3),2000,24.463,97.792,100.0,100.0,100.0,100.0,100.0,99.75,95.8,63.35,4.05,0.0,0.0,0.0,0.0,0.0,11862.994,12222,716.652,728
merge-rnd_t(d=3 t=4),500,14.539,57.937,100.0,100.0,100.0,100.0,100.0,99.6,96.4,69.8,7.2,0.0,0.0,0.0,0.0,0.0,12855.448,12838,764.294,775
merge-rnd_t(d=3 t=5),500,27.12,108.041,100.0,100.0,100.0,100.0,100.0,100.0,97.2,69.4,7.0,0.0,0.0,0.0,0.0,0.0,12870.352,12858,766.294,776
merge-rnd_t(d=3 t=6),500,47.405,188.945,100.0,100.0,100.0,100.0,100.0,99.8,98.2,74.2,8.2,0.0,0.0,0.0,0.0,0.0,13512.496,14416,799.054,836.5
merge-rnd_t(d=3 t=7),500,72.632,288.074,100.0,100.0,100.0,100.0,100.0,100.0,98.2,70.8,7.0,0.0,0.0,0.0,0.0,0.0,13196.304,14196,783.736,817
merge-rnd_t(d=3 t=8),500,108.141,428.233,100.0,100.0,100.0,100.0,100.0,100.0,97.6,73.4,9.2,0.0,0.0,0.0,0.0,0.0,13443.44,14198,793.364,820.5
merge-rnd_t(d=3 t=9),500,152.771,609.512,100.0,100.0,100.0,100.0,100.0,100.0,97.6,72.6,11.0,0.0,0.0,0.0,0.0,0.0,13670.424,14354,803.238,830
merge-rnd_t(d=3 t=10),500,211.393,842.812,100.0,100.0,100.0,100.0,100.0,100.0,98.2,74.6,11.4,0.0,0.0,0.0,0.0,0.0,13932.8,14474,816.812,847
merge-rnd_t(d=4 t=1),10000,22.63,90.511,100.0,100.0,100.0,99.99,99.99,99.8,94.79,53.95,2.5,0.0,0.0,0.0,0.0,0.0,10713.5528,11514,657.1992,675
merge-rnd_t(d=4 t=2),500,18.636,74.353,100.0,100.0,100.0,100.0,100.0,100.0,99.2,82.4,22.6,0.2,0.0,0.0,0.0,0.0,16435.96,15778,934.156,924
merge-rnd_t(d=4 t=3),500,95.974,382.673,100.0,100.0,100.0,100.0,100.0,100.0,99.4,89.6,33.2,0.2,0.0,0.0,0.0,0.0,19058.6,16202,1058.596,957
merge-rnd_t(d=4 t=4),500,300.496,1197.23,100.0,100.0,100.0,100.0,100.0,100.0,99.6,91.0,40.0,0.2,0.0,0.0,0.0,0.0,20337.696,16346,1118.444,969
merge-rnd_t(d=4 t=5),500,743.409,2953.81,100.0,100.0,100.0,100.0,100.0,100.0,99.8,94.0,47.4,0.0,0.0,0.0,0.0,0.0,21730.248,16592,1182.584,993.5
merge-rnd_t(d=4 t=6),500,1538.79,6144.81,100.0,100.0,100.0,100.0,100.0,100.0,99.8,94.4,50.0,0.6,0.0,0.0,0.0,0.0,22587.144,19792,1223.218,1079
merge-rnd_t(d=4 t=7),500,2724.62,10855.5,100.0,100.0,100.0,100.0,100.0,100.0,99.8,93.8,46.2,0.4,0.0,0.0,0.0,0.0,21873.184,16544,1190.102,984
merge-rnd_t(d=4 t=8),500,4657.25,18565.2,100.0,100.0,100.0,100.0,100.0,100.0,99.6,93.0,48.2,1.0,0.0,0.0,0.0,0.0,22337.712,16722,1211.81,996
merge-rnd_t(d=4 t=9),500,7425.49,29547.6,100.0,100.0,100.0,100.0,100.0,100.0,99.6,92.8,49.8,0.8,0.0,0.0,0.0,0.0,22526.392,17418,1219.866,1025
merge-rnd_t(d=5 t=1),10000,88.673,354.632,100.0,100.0,100.0,100.0,100.0,99.91,96.79,66.28,5.89,0.0,0.0,0.0,0.0,0.0,12350.7292,12352,737.4079,738
merge-rnd_t(d=5 t=2),500,180.097,717.836,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.8,54.4,1.6,0.0,0.0,0.0,0.0,24013.68,25602,1286.566,1315.5
merge-rnd_t(d=5 t=3),500,1338.9,5334.37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.8,63.6,3.0,0.0,0.0,0.0,0.0,26309.336,27312,1390.16,1421.5
merge-rnd_t(d=5 t=4),500,5714.63,22803.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.4,72.8,5.0,0.0,0.0,0.0,0.0,28864.008,31594,1506.062,1601
merge-rnd_t(d=5 t=5),500,17205.8,68528.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,73.4,7.2,0.0,0.0,0.0,0.0,29907.432,32332,1554.006,1659
merge-rnd_t(d=5 t=6),500,41975.7,167363,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,73.4,6.8,0.0,0.0,0.0,0.0,30089.024,32368,1564.162,1662.5
merge-mnmx(d=-1),500,3830.05,15223.5,100.0,100.0,100.0,100.0,100.0,100.0,94.0,40.4,0.6,0.0,0.0,0.0,0.0,0.0,9366.792,7214,586.916,497
merge-mnmx(d=0),500,224.983,895.544,100.0,100.0,100.0,100.0,100.0,100.0,90.8,41.8,0.8,0.0,0.0,0.0,0.0,0.0,9312.32,7254,584.058,501.5
merge-mnmx(d=1),200000,11.668,46.67,100.0,100.0,99.9995,99.8615,94.9925,59.7085,12.351,0.0835,0.0,0.0,0.0,0.0,0.0,0.0,3024.121,2840,255.6778,246
merge-mnmx(d=2),10000,32.978,131.902,100.0,100.0,100.0,100.0,99.97,97.26,70.48,11.96,0.0,0.0,0.0,0.0,0.0,0.0,6130.7252,6312,419.6447,427
merge-mnmx(d=3),2000,262.174,1047.09,100.0,100.0,100.0,100.0,100.0,99.7,88.15,32.9,0.1,0.0,0.0,0.0,0.0,0.0,8422.38,7148,540.8345,491
merge-mnmx(d=4),500,2006.62,8013.73,100.0,100.0,100.0,100.0,100.0,100.0,93.4,42.6,1.6,0.0,0.0,0.0,0.0,0.0,9505.768,7300,594.794,502
merge-mnmx(d=5),500,55366.9,220556,100.0,100.0,100.0,100.0,100.0,100.0,95.0,48.0,0.6,0.0,0.0,0.0,0.0,0.0,9963.352,7622,617.964,520.5
merge-expmx(d=-1),500,9079.86,36066.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,61.2,3.8,0.0,0.0,0.0,0.0,25985.872,27200,1371.18,1416.5
merge-expmx(d=0),500,363.514,1452.07,100.0,100.0,100.0,100.0,100.0,100.0,99.0,87.6,30.6,0.2,0.0,0.0,0.0,0.0,18360.312,16068,1022.32,941
merge-expmx(d=1),200000,13.284,53.136,100.0,100.0,99.9985,99.867,94.955,59.5135,12.2815,0.082,0.0,0.0,0.0,0.0,0.0,0.0,3019.9463,2840,255.4556,246
merge-expmx(d=2),10000,63.249,252.929,100.0,100.0,100.0,100.0,99.98,99.09,82.89,26.07,0.09,0.0,0.0,0.0,0.0,0.0,7687.824,7088,503.4042,484
merge-expmx(d=3),2000,998.475,3991.48,100.0,100.0,100.0,100.0,100.0,99.9,97.45,70.15,7.65,0.0,0.0,0.0,0.0,0.0,13016.104,12878,772.412,774.5
merge-expmx(d=4),500,6873.66,27432.7,100.0,100.0,100.0,100.0,100.0,100.0,99.4,92.2,35.2,0.2,0.0,0.0,0.0,0.0,19705.152,16218,1089.2,961.5
score-rnd_t(d=1 t=1),200000,2.737,10.948,100.0,100.0,99.9985,99.7645,92.9485,53.2875,6.4305,0.012,0.0,0.0,0.0,0.0,0.0,0.0,2446.5655,2376,212.5407,206
score-rnd_t(d=1 t=2),200000,4.562,18.248,100.0,100.0,100.0,99.883,95.2045,61.7315,9.581,0.026,0.0,0.0,0.0,0.0,0.0,0.0,2672.0507,2608,226.2752,223
score-rnd_t(d=1 t=3),200000,6.442,25.768,100.0,100.0,100.0,99.914,95.997,65.0445,11.1935,0.0235,0.0,0.0,0.0,0.0,0.0,0.0,2765.5057,2728,231.6752,229
score-rnd_t(d=1 t=4),200000,8.519,34.076,100.0,100.0,100.0,99.923,96.4295,66.7245,12.232,0.0395,0.0,0.0,0.0,0.0,0.0,0.0,2821.681,2784,234.8998,233
score-rnd_t(d=1 t=5),200000,10.301,41.201,100.0,100.0,100.0,99.934,96.6755,68.228,13.211,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,2871.7043,2836,237.7474,236
score-rnd_t(d=1 t=6),200000,12.113,48.447,100.0,100.0,100.0,99.9415,96.906,69.315,13.9065,0.043,0.0,0.0,0.0,0.0,0.0,0.0,2911.049,2880,240.0526,239
score-rnd_t(d=1 t=7),200000,13.937,55.748,100.0,100.0,100.0,99.942,97.0665,70.1865,14.407,0.0635,0.0,0.0,0.0,0.0,0.0,0.0,2940.6864,2900,241.7925,240
score-rnd_t(d=1 t=8),200000,15.735,62.94,100.0,100.0,100.0,99.952,97.158,70.722,14.826,0.054,0.0,0.0,0.0,0.0,0.0,0.0,2962.2098,2920,243.0701,242
score-rnd_t(d=1 t=9),200000,17.607,70.428,100.0,100.0,100.0,99.95,97.222,71.271,15.389,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,2987.574,2940,244.549,243
score-rnd_t(d=1 t=10),200000,19.414,77.655,100.0,100.0,100.0,99.9415,97.3235,71.6105,15.6895,0.0595,0.0,0.0,0.0,0.0,0.0,0.0,3001.8061,2956,245.3762,244
score-rnd_t(d=2 t=1),200000,22.768,91.072,100.0,100.0,100.0,100.0,99.9855,98.797,81.2955,21.9415,0.0565,0.0,0.0,0.0,0.0,0.0,7292.8999,7016,482.1896,477
score-rnd_t(d=2 t=2),10000,3.871,15.482,100.0,100.0,100.0,100.0,100.0,99.42,88.11,33.48,0.21,0.0,0.0,0.0,0.0,0.0,8501.3932,7208,546.8636,498
score-rnd_t(d=2 t=3),10000,8.24,32.95,100.0,100.0,100.0,100.0,99.99,99.58,90.44,38.81,0.55,0.0,0.0,0.0,0.0,0.0,9055.8944,7328,575.6832,507
score-rnd_t(d=2 t=4),10000,14.735,58.933,100.0,100.0,100.0,100.0,100.0,99.72,91.22,41.62,0.68,0.0,0.0,0.0,0.0,0.0,9335.062,7408,590.1636,514
score-rnd_t(d=2 t=5),10000,22.478,89.902,100.0,100.0,100.0,100.0,100.0,99.75,91.67,43.81,0.78,0.0,0.0,0.0,0.0,0.0,9577.6288,7472,602.8752,520
score-rnd_t(d=2 t=6),2000,6.214,24.832,100.0,100.0,100.0,100.0,100.0,99.7,90.4,41.75,0.8,0.0,0.0,0.0,0.0,0.0,9404.606,7388,594.409,512
